Goods code;Add code;Order No.;Origin code;Meas. type code;Meas. cond;Sequence;Certificate;Cond. amount;Mon. unit;Meas. unit;Meas. unit qual;Meas. action
0101000000;;;IL;142;Y;1;Y864;;;;;27
0101000000;;;IL;142;Y;3;;;;;;07
0101210000;;;1011;103;B;1;C074;;;;;27
0101210000;;;1011;103;B;2;C078;;;;;27
0101210000;;;1011;103;B;3;;;;;;08
0101210000;;;1011;103;C;1;C075;;;;;27
0101210000;;;1011;103;C;2;;;;;;08
0101290000;;;1006;142;B;1;U088;;;;;27
0101290000;;;1006;142;B;2;;;;;;07
0101291000;;;1011;105;B;1;N990;;;;;27
0101291000;;;1011;105;B;2;;;;;;08
0101300000;;;1006;142;B;1;U088;;;;;27
0101300000;;;1006;142;B;2;;;;;;07
0101900000;;;1006;142;B;1;U088;;;;;27
0101900000;;;1006;142;B;2;;;;;;07
0102210000;;;1011;103;B;1;C074;;;;;27
0102210000;;;1011;103;B;2;;;;;;08
0102210000;;;1011;103;C;1;C075;;;;;27
0102210000;;;1011;103;C;2;;;;;;08
0102290000;;;IL;142;Y;1;Y864;;;;;27
0102290000;;;IL;142;Y;3;;;;;;07
0102291000;;;1006;142;B;1;U088;;;;;27
0102291000;;;1006;142;B;2;;;;;;07
0102291010;;090113;1008;123;B;1;N990;;;;;27
0102291010;;090113;1008;123;B;2;;;;;;08
0102291010;;090113;1008;123;S;1;;28;EUR;NAR;;27
0102291010;;090113;1008;123;S;2;;0;EUR;NAR;;07
0102291020;;090114;1008;123;B;1;N990;;;;;27
0102291020;;090114;1008;123;B;2;;;;;;08
0102291030;;090115;1008;123;B;1;N990;;;;;27
0102291030;;090115;1008;123;B;2;;;;;;08
0102291030;;090115;1008;123;C;1;C026;;;;;27
0102291030;;090115;1008;123;C;2;C027;;;;;27
0102291030;;090115;1008;123;C;3;;;;;;07
0102291040;;090114;1008;123;B;1;N990;;;;;27
0102291040;;090114;1008;123;B;2;;;;;;08
0102291040;;090115;1008;123;B;1;N990;;;;;27
0102291040;;090115;1008;123;B;2;;;;;;08
0102291040;;090115;1008;123;C;1;C026;;;;;27
0102291040;;090115;1008;123;C;2;C027;;;;;27
0102291040;;090115;1008;123;C;3;;;;;;07
0102291050;;090115;1008;123;B;1;N990;;;;;27
0102291050;;090115;1008;123;B;2;;;;;;08
0102291050;;090115;1008;123;C;1;C027;;;;;27
0102291050;;090115;1008;123;C;2;;;;;;07
0102292100;;;1006;142;B;1;U088;;;;;27
0102292100;;;1006;142;B;2;;;;;;07
0102292900;;;1006;142;B;1;U088;;;;;27
0102292900;;;1006;142;B;2;;;;;;07
0102292910;;090113;1008;123;B;1;N990;;;;;27
0102292910;;090113;1008;123;B;2;;;;;;08
0102292910;;090113;1008;123;S;1;;56;EUR;NAR;;27
0102292910;;090113;1008;123;S;2;;0;EUR;NAR;;07
0102292920;;090114;1008;123;B;1;N990;;;;;27
0102292920;;090114;1008;123;B;2;;;;;;08
0102292930;;090115;1008;123;B;1;N990;;;;;27
0102292930;;090115;1008;123;B;2;;;;;;08
0102292930;;090115;1008;123;C;1;C026;;;;;27
0102292930;;090115;1008;123;C;2;C027;;;;;27
0102292930;;090115;1008;123;C;3;;;;;;07
0102292940;;090114;1008;123;B;1;N990;;;;;27
0102292940;;090114;1008;123;B;2;;;;;;08
0102292940;;090115;1008;123;B;1;N990;;;;;27
0102292940;;090115;1008;123;B;2;;;;;;08
0102292940;;090115;1008;123;C;1;C026;;;;;27
0102292940;;090115;1008;123;C;2;C027;;;;;27
0102292940;;090115;1008;123;C;3;;;;;;07
0102292950;;090115;1008;123;B;1;N990;;;;;27
0102292950;;090115;1008;123;B;2;;;;;;08
0102292950;;090115;1008;123;C;1;C027;;;;;27
0102292950;;090115;1008;123;C;2;;;;;;07
0102294100;;;1006;142;B;1;U088;;;;;27
0102294100;;;1006;142;B;2;;;;;;07
0102294900;;;1006;142;B;1;U088;;;;;27
0102294900;;;1006;142;B;2;;;;;;07
0102294910;;090113;1008;123;B;1;N990;;;;;27
0102294910;;090113;1008;123;B;2;;;;;;08
0102294910;;090113;1008;123;S;1;;105;EUR;NAR;;27
0102294910;;090113;1008;123;S;2;;0;EUR;NAR;;07
0102294920;;090114;1008;123;B;1;N990;;;;;27
0102294920;;090114;1008;123;B;2;;;;;;08
