Goods code;Add code;Order No.;Origin;Measure type;Excluded country code;Origin code;Meas. type code;Excluded country
0100000000;;;ERGA OMNES;Import control of organic products;Norway;1011;750;NO
0100000000;;;ERGA OMNES;Import control of organic products;Switzerland;1011;750;CH
0100000000;;;ERGA OMNES;Import control of organic products;Iceland;1011;750;IS
0100000000;;;ERGA OMNES;Import control of organic products;Liechtenstein;1011;750;LI
0100000000;;;ERGA OMNES;Additional duties;Belarus;1011;695;BY
0100000000;;;ERGA OMNES;Additional duties;Russian Federation;1011;695;RU
0101000000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0101210000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0101210000;;;All third countries;Veterinary control;Norway;1008;410;NO
0101210000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0101210000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0101210000;;;All third countries;Veterinary control;Faroe Islands;1008;410;FO
0101210000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0101290000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0101290000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0101290000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0101290000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0101290000;;;All third countries;Veterinary control;Norway;1008;410;NO
0101290000;;;All third countries;Veterinary control;Faroe Islands;1008;410;FO
0101299000;;;GSP - General arrangements;Tariff preference;Indonesia;2020;142;ID
0101300000;;;GSP - General arrangements;Tariff preference;Indonesia;2020;142;ID
0101300000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0101300000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0101300000;;;All third countries;Veterinary control;Norway;1008;410;NO
0101300000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0101300000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0101900000;;;GSP - General arrangements;Tariff preference;Indonesia;2020;142;ID
0101900000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0101900000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0101900000;;;All third countries;Veterinary control;Norway;1008;410;NO
0101900000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0101900000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0102000000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0102000000;;;All third countries;Veterinary control;Norway;1008;410;NO
0102000000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0102000000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0102000000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0102291000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102291010;;090113;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102291010;;090113;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102291010;;090113;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102291020;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102291020;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102291020;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102291030;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102291030;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102291030;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102291040;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102291040;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102291040;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102291040;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102291040;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102291040;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102291050;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102291050;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102291050;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102292100;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102292900;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102292910;;090113;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102292910;;090113;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102292910;;090113;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102292920;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102292920;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102292920;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102292930;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102292930;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102292930;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102292940;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102292940;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102292940;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102292940;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102292940;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102292940;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102292950;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102292950;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102292950;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102294100;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102294900;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102294910;;090113;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102294910;;090113;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102294910;;090113;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102294920;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102294920;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102294920;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102294930;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102294930;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102294930;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102294940;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102294940;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102294940;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102294940;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102294940;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102294940;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102294950;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102294950;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102294950;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102295100;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102295900;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102295911;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102295911;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102295911;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102295919;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102295919;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102295919;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102295921;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102295921;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102295921;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102295929;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102295929;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102295929;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102295931;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102295931;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102295931;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102295931;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102295931;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102295931;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102295939;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102295939;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102295939;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102295939;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102295939;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102295939;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102296100;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102296900;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102296910;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102296910;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102296910;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102296920;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102296920;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102296920;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102296930;;090114;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102296930;;090114;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102296930;;090114;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102296930;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102296930;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102296930;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102299100;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102299900;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102299921;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102299921;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102299921;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102299929;;090115;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0102299929;;090115;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0102299929;;090115;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0102391000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0102909100;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0103000000;;;All third countries;Veterinary control;Norway;1008;410;NO
0103000000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0103000000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0103000000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0103000000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0103000000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0104000000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0104100000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0104100000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0104100000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0104100000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0104100000;;;All third countries;Veterinary control;Norway;1008;410;NO
0104103000;;092181;All third countries;Non preferential tariff quota;United Kingdom;1008;122;GB
0104103000;;092181;All third countries;Non preferential tariff quota;Belarus;1008;122;BY
0104103000;;092181;All third countries;Non preferential tariff quota;Russian Federation;1008;122;RU
0104108000;;092181;All third countries;Non preferential tariff quota;Belarus;1008;122;BY
0104108000;;092181;All third countries;Non preferential tariff quota;Russian Federation;1008;122;RU
0104108000;;092181;All third countries;Non preferential tariff quota;United Kingdom;1008;122;GB
0104200000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0104200000;;;All third countries;Veterinary control;Norway;1008;410;NO
0104200000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0104200000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0104200000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0104201000;;;GSP - General arrangements;Tariff preference;Indonesia;2020;142;ID
0104209000;;092181;All third countries;Non preferential tariff quota;Russian Federation;1008;122;RU
0104209000;;092181;All third countries;Non preferential tariff quota;United Kingdom;1008;122;GB
0104209000;;092181;All third countries;Non preferential tariff quota;Belarus;1008;122;BY
0105000000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0105000000;;;All third countries;Veterinary control;Norway;1008;410;NO
0105000000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0105000000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0105000000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0105000000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0106000000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0106110000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106110000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106110000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106110000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106110000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106120000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106120000;;;All third countries;Veterinary control;San Marino;1008;410;SM
